"ASV_ID","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV13744","Bacteria","Proteobacteria","NA","NA","NA","NA","NA"
"ASV10985","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13659","NA","NA","NA","NA","NA","NA","NA"
"ASV9986","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13609","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV8905","NA","NA","NA","NA","NA","NA","NA"
"ASV12803","NA","NA","NA","NA","NA","NA","NA"
"ASV13928","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12088","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13883","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13939","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13741","NA","NA","NA","NA","NA","NA","NA"
"ASV9935","Archaea","NA","NA","NA","NA","NA","NA"
"ASV13778","NA","NA","NA","NA","NA","NA","NA"
"ASV14406","NA","NA","NA","NA","NA","NA","NA"
"ASV12421","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9519","NA","NA","NA","NA","NA","NA","NA"
"ASV8492","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10158","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11769","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12623","NA","NA","NA","NA","NA","NA","NA"
"ASV11627","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9655","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13187","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14354","NA","NA","NA","NA","NA","NA","NA"
"ASV8146","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9131","Bacteria","Proteobacteria","NA","NA","NA","NA","NA"
"ASV10234","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14236","Bacteria","Proteobacteria","NA","NA","NA","NA","NA"
"ASV12637","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12745","Bacteria","Proteobacteria","NA","NA","NA","NA","NA"
"ASV12454","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12139","Bacteria","Proteobacteria","NA","NA","NA","NA","NA"
"ASV12104","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9975","Bacteria","Proteobacteria","NA","NA","NA","NA","NA"
"ASV14235","Bacteria","Proteobacteria","NA","NA","NA","NA","NA"
"ASV12419","Bacteria","Proteobacteria","NA","NA","NA","NA","NA"
"ASV9953","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11259","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11331","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11988","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11684","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13392","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13749","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13776","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13520","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14224","NA","NA","NA","NA","NA","NA","NA"
"ASV13334","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14736","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9021","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9425","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV6569","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV11482","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9770","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV10581","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV12390","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13959","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV14722","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13684","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV9737","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13592","Bacteria","NA","NA","NA","NA","NA","NA"
"ASV13278","NA","NA","NA","NA","NA","NA","NA"
"ASV14072","NA","NA","NA","NA","NA","NA","NA"
"ASV12585","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriales Incertae Sedis","NA","NA"
"ASV12724","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","NA","NA","NA"
"ASV12631","Bacteria","Actinobacteriota","NA","NA","NA","NA","NA"
"ASV13564","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","NA","NA","NA"
"ASV13846","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","NA","NA"
"ASV9222","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus","NA"
"ASV1485","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Enterorhabdus","NA"
